,14887,15622
1960,,
1961,,
1962,24450604877.4934,
1963,18272123664.3994,
1964,25605249381.7597,
1965,28344705966.5801,
1966,28630474727.8546,
1967,24256667553.2569,
1968,26436857247.4696,
1969,31256284543.5869,
1970,31584210365.5447,105.821311950684
1971,33293199095.4681,106.506286621094
1972,34733000536.2862,106.038307189941
1973,52544000116.9037,105.592231750488
1974,72436777342.4443,106.32186126709
1975,52438647921.9226,106.099891662598
1976,51169499892.1722,105.753059387207
1977,56781000101.0848,106.66185760498
1978,58082870156.329,106.277099609375
1979,69252328951.6441,106.766578674316
1980,76961923741.0701,106.895767211914
1981,78676842366.5529,107.608009338379
1982,84307486836.724,107.83699798584
1983,103979106777.911,
1984,79092001998.032,106.028717041016
1985,88416668900.2596,106.174377441406
1986,110934442762.694,107.024520874023
1987,111106191358.197,107.391807556152
1988,126206817196.091,107.966346740723
1989,76636898036.4712,
1990,141352368714.691,106.91242980957
1991,189719984268.485,108.99739074707
1992,228788617201.696,
1993,236741715015.015,
1994,257440000000.0,110.97087097168
1995,258031750000.0,
1996,272149750000.0,110.220222473145
1997,292859000000.0,107.086303710938
1998,298948250000.0,111.541656494141
1999,283523000000.0,114.496871948242
2000,284203750000.0,115.694129943848
2001,268696750000.0,116.25016784668
2002,97724004251.8602,116.798431396484
2003,127586973492.177,114.494667053223
2004,164657930452.787,115.806053161621
2005,198737095012.282,115.29914855957
2006,232557260817.308,117.203300476074
2007,287530508430.568,118.051109313965
2008,361558037110.419,118.593460083008
2009,332976484577.619,117.905982971191
2010,423627422092.49,116.975761413574
2011,530163281574.658,115.614730834961
2012,545982375701.128,114.227172851563
2013,552025140252.246,112.011947631836
2014,526319673731.638,111.459671020508
2015,594749285413.212,111.303413391113
2016,557531376217.967,110.739181518555
2017,643628665302.155,109.74146270752
2018,524819742918.669,109.659172058105
2019,452818426182.658,109.516296386719
2020,389591035520.675,
2021,491492700657.012,
Unnamed: 66,,
